Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic,Source URL,Match notes
Measures for Justice,GovTech,,Federal,Measures for Justice is on a mission to make accurate criminal justice data available to spur reform.,,,http://www.measuresforjustice.org/,Technology & Data,Shared Platforms,https://civictech.guide/measures-for-justice,core: Open data publishing portals | Non-profit / charity / foundation
Metropolitan Area Planning Council,Government,,City,The Metropolitan Area Planning Council is the regional planning agency serving the people who live and work in the 101 cities and towns of Metro Boston.,,,https://www.mapc.org/,Test & Learn,Iterative Learning,https://civictech.guide/metropolitan-area-planning-council,core: Building inside government | Government / public sector
MyCapitol,Advocacy,,Federal,"Policy intelligence tool for advocates, nonprofits, and everyday people",,,https://mycapitol.ai/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/mycapitol,core: Legislation trackers | Non-profit / charity / foundation
National Science Foundation's Smart & Connected Communities Virtual Organization,Government,Ecosystems,Federal,"Pushing the Boundaries of Scientific Innovation to Create a Smarter, Sustainable, and Resilient Future for Communities",,,https://sccvo.org/,Procurement & Operations,Procurement Reform,https://civictech.guide/national-science-foundations-smart-connected-communities-virtual-organization,core: Public Private Partnerships | Government / public sector
National Whistleblower Center (NWC),Advocacy,,Federal,"For 35 years, the National Whistleblower Center has been a frontline defender of those brave enough to expose corruption, fraud, and abuse.",,,https://www.whistleblowers.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/national-whistleblower-center-nwc,core: Watchdogging government | Non-profit / charity / foundation
New York City Civic Engagement Commission (CEC),Government,,City,"The Civic Engagement Commission will enhance civic participation, promote civic trust, and strengthen democracy in New York City.",,,https://www1.nyc.gov/site/civicengagement/index.page,Test & Learn,Iterative Learning,https://civictech.guide/new-york-city-civic-engagement-commission-cec,core: Building inside government | Government / public sector
New York City Civic Engagement Commission Decidim Partnership,Government,GovTech,City,New York City became the first local government outside Catalonia to establish a formal collaboration framework with the Decidim Association.,,,https://decidim.org/blog/2026-07-06-decidim-and-the-new-york-city-civic-engagement-commission-formalise-partnership-with-a-memorandum-of-understanding/,Participatory Democracy,Civic Engagement,https://civictech.guide/new-york-city-civic-engagement-commission-decidim-partnership,core: Digital participation platforms | Government / public sector
NYC EDC,Government,,,AI Confessions,,,https://edc.nyc/press-release/de-blasio-administration-and-council-member-ydanis-rodriguez-announce-formation-local,Test & Learn,Iterative Learning,https://civictech.guide/nyc-edc,core: Innovation teams and labs | Government / public sector
NYC Planning Labs,Government,,City,"NYC Planning Labs builds open, impactful, modern technology tools for urban planners",,,https://labs.planning.nyc.gov,Test & Learn,Iterative Learning,https://civictech.guide/nyc-planning-labs,core: Innovation teams and labs | Government / public sector
NYC Smart City Testbed,Government,Ecosystems,City,The NYC Smart City Testbed Program is inspiring innovation within City government by streamlining and accelerating the citywide process for piloting emerging technologies.,,,https://testbed.cityofnewyork.us/,Test & Learn,Iterative Learning,https://civictech.guide/nyc-smart-city-testbed,core: Testbeds and Sandboxes | Government / public sector
Observatory of Public Sector AI,Research,Digital Services & Consulting,Federal,"By analyzing how public employees learn, use, and adapt AI at work, the Observatory aims to identify which investments in skills and training strengthen government capacity, improve services, and deliver better outcomes for residents.",,,https://research-template--innovate-us.netlify.app/innovateus-research,Service Delivery,Service Design,https://civictech.guide/observatory-of-public-sector-ai,core: Supporting public sector from outside government | Academic / research organization
Plural (previously OpenStates.org),Advocacy,,,"Track bills, review legislation, research data & see how your representatives are voting.",,,https://pluralpolicy.com/open/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/plural-previously-openstatesorg,core: Parliamentary and congressional monitoring | For-profit business / social enterprise / B Corp
Psst.org,Advocacy,,,"Psst is a non-partisan, non-profit public service that helps people bring forward public interest information.",,,https://psst.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/psstorg,core: Watchdogging government | Non-profit / charity / foundation
Public Rights Project,Digital Services & Consulting,,,"Since 2017, we've recovered over $46 million in relief for marginalized people; built a network of over 1,300 government offices, elected officials, and community-based organizations in 50 states; trained 130 prosecutors and government lawyers in 24 states; and secured court victories on abortion, immigrant, workers’, and voting rights",,,https://www.publicrightsproject.org/,Service Delivery,Service Design,https://civictech.guide/public-rights-project,core: Supporting public sector from outside government | Non-profit / charity / foundation
Ridiculously Hopeful Futures,Digital Services & Consulting,,,"Ridiculously Hopeful Future: a bold, slightly wild, and very optimistic project to transform how government social safety net programs are designed.",,,https://civicmakers.com/ridiculously-hopeful-futures/,Service Delivery,Service Design,https://civictech.guide/ridiculously-hopeful-futures,core: Supporting public sector from outside government | For-profit business / social enterprise / B Corp
Rural and Nonmetro Election Infrastructure Grant Program,GovTech,,Federal,CTCL is thrilled to launch a nonpartisan grant program to help rural and nonmetro election jurisdictions ensure reliable and secure elections consistent with applicable law.,,,https://www.techandciviclife.org/our-work/election-officials/grants/2024grants/,Participatory Democracy,Democracy Infrastructure,https://civictech.guide/rural-and-nonmetro-election-infrastructure-grant-program,core: Election administration | Non-profit / charity / foundation
ScanGov,GovTech,,,"ScanGov is a government digital experience platform that helps public agencies monitor, improve, and maintain their websites. The service combines automated scanning with clear guidance to help government teams deliver better online services to the public through standards-based improvements.",,,https://scangov.com/,Service Delivery,Service Design,https://civictech.guide/scangov,core: Service alerts | For-profit business / social enterprise / B Corp
The Lab @ DC,Government,,,"The Lab uses scientific insights and methods to test and improve policies and provide timely, relevant, and high-quality analysis to inform the District's most important decisions.",,,https://thelab.dc.gov/,Test & Learn,Iterative Learning,https://civictech.guide/the-lab-at-dc,core: Innovation teams and labs | Government / public sector
The Metagovernance Project (Metagov),Digital Services & Consulting,,,"a laboratory for digital governance Our collaborations include: Metagov Gateway, a unified API gateway for digital governance services (docs, slides, video) Modular Politics, a working paper outlining a governance layer for the internet Govbase, an open database of projects and tools in online governance Agreement Engine, a tool for building contract systems on the internet DAOstar One, a roundtab",,,https://metagov.org/,Service Delivery,Service Design,https://civictech.guide/the-metagovernance-project-metagov,core: Civic apps outfits | Non-profit / charity / foundation
The Signals Network,Advocacy,,,The Signals Network supports whistleblowers to hold powerful interests to account all over the world.,,,https://thesignalsnetwork.org/,Participatory Democracy,Transparency & Accountability,https://civictech.guide/the-signals-network,core: Watchdogging government | Non-profit / charity / foundation
type2dialogue,Digital Services & Consulting,,,"Type2Dialogue provides AI-enabled tools for organizers doing the hardest kind of work—changing minds, building commitment, and mobilizing action.",,,https://type2dialogue.com/,Service Delivery,Service Design,https://civictech.guide/type2dialogue,core: Civic apps outfits
United States Department of State's Office of the Special Envoy for Critical and Emerging Technology,Government,Research,Federal,Secretary Blinken established the office as part of the wider modernization agenda because the constellation of critical and emerging technologies reshaping the world is now an integral part of the conduct of U.S. foreign policy and diplomacy.,,,https://www.state.gov/establishing-the-office-of-the-special-envoy-for-critical-and-emerging-technology/,Domains,AI in Government,https://civictech.guide/united-states-department-of-states-office-of-the-special-envoy-for-critical-and-emerging-technology,core: Tech or Digital Policy | Government / public sector
US GAO Innovation Lab,Government,,,"At the Innovation Lab, an arm of the Science, Technology Assessment, and Analytics team at the Government Accountability Office, we’re using emerging technology to rethink analytics, auditing, and cybersecurity.",,,https://gaoinnovations.gov/,Test & Learn,Iterative Learning,https://civictech.guide/us-gao-innovation-lab,core: Innovation teams and labs | Government / public sector
Verified Voting,GovTech,,,Verified Voting’s mission is to strengthen democracy for all voters by promoting the responsible use of technology in elections.,,,https://verifiedvoting.org/,Participatory Democracy,Democracy Infrastructure,https://civictech.guide/verified-voting,core: Election administration | Non-profit / charity / foundation
With Neighbors,Advocacy,,Federal,With Neighbors supports a national wave of local microgrant programs.,,,https://withneighbors.org,Participatory Democracy,Transparency & Accountability,https://civictech.guide/with-neighbors,core: Government transparency | Non-profit / charity / foundation
YAI Center for Innovation and Engagement,Government,,,YAI’s Center for Innovation and Engagement understands how technology can help people with intellectual and developmental disabilities better participate in their community.,,,https://www.yai.org/services/center-innovation-and-engagement,Test & Learn,Iterative Learning,https://civictech.guide/yai-center-for-innovation-and-engagement,core: Innovation teams and labs | Non-profit / charity / foundation
City Science Network,Research,Ecosystems,City,MIT City Science has developed an international network of cooperative City Science Labs,,,https://www.media.mit.edu/projects/city-science-network/overview/,Test & Learn,"Scaling What Works,Evidence Use",https://civictech.guide/city-science-network,supporting: Partner networks and coalitions; Peer-reviewed research; Research and policy centers | Academic / research organization
Disaster Relief by Amazon,GovTech,Community,,"""A five-member team of Amazon product and program managers connecting with nonprofits worldwide and are ready to respond to requests for resources during a disaster."" - GovTech",,,https://www.govtech.com/em/disaster/Disaster-Relief-by-Amazon-a-Small-Team-with-a-Lot-to-Offer.html,"Technology & Data,Domains,Talent & Hiring","Shared Platforms,Crisis Response,Expert Contribution",https://civictech.guide/disaster-relief-by-amazon,supporting: Civic teams at tech companies; Disaster response and humanitarian tech; Pro bono and volunteer | For-profit business / social enterprise / B Corp
Open Technology Fund (OTF),Advocacy,"GovTech,Philanthropy",,"We support the research, design, development, and deployment of technology-focused projects that counter online censorship and combat repressive surveillance, to enable global internet users to exercise their fundamental human rights online.",,,https://www.opentech.fund/,"Domains,Technology & Data,Test & Learn","Broadband & Internet Connectivity,Data Security,Scaling What Works",https://civictech.guide/open-technology-fund-otf,supporting: Connectivity; Cybersecurity; Funders & donors | Non-profit / charity / foundation
"Public Interest Technology, MS at Arizona State University",Research,Capacity Building,,"Do you have a passion for ensuring technology and innovation benefit society? Join this unique program and become a leader in examining and using technology for social good, whether in the public or private sector or in nonprofit organizations.",,,https://asuonline.asu.edu/online-degree-programs/graduate/public-interest-technology-masters/,Talent & Hiring,Talent Pipeline,https://civictech.guide/public-interest-technology-ms-at-arizona-state-university,supporting: Academic programs; Degree programs; Public Interest Tech | Academic / research organization
Public Servants,GovTech,Digital Services & Consulting,,"We’re a team of experienced public servants, designers, and strategists who help organizations solve complex problems and strengthen systems that serve everyone better.",,,https://www.publicservants.com/,"Technology & Data,Service Delivery,Participatory Democracy","Shared Platforms,Service Design,Civic Engagement",https://civictech.guide/public-servants,supporting: Building in the private sector; Design; Participation consultants | For-profit business / social enterprise / B Corp
Smart Cities Council,Ecosystems,,City,"Welcome to the world's leading organization for Smart Cities, Smart Buildings, Strategies, Policy, Research and Technologies.",,,https://www.smartcitiescouncil.com/,"Test & Learn,Procurement & Operations","Scaling What Works,Procurement Reform",https://civictech.guide/smart-cities-council,supporting: Accelerators; Hubs; Trade groups
Annenberg Civic Media Fellowship,Research,"Fellowships,Ecosystems",,"a fellowship program to empower social entrepreneurs, artists, activists, scholars and other catalysts to increase awareness, understanding and engagement around pressing areas of public interest, with particular attention to underrepresented communities and their ideas",,,https://www.annenberglab.com/civic-media-fellowship/,Talent & Hiring,"Talent Pipeline,Hiring Process",https://civictech.guide/annenberg-civic-media-fellowship,supporting: Fellowships; Find a job or hire someone | Academic / research organization
Atlantic Council Democracy + Tech Initiative,Research,Fellowships,,The Digital Forensic Research Lab’s Democracy + Tech Initiative centers human rights and democracy in technology and policy debates.,,,https://www.atlanticcouncil.org/programs/digital-forensic-research-lab/democracy-and-tech-initiative/,"Test & Learn,Talent & Hiring","Evidence Use,Talent Pipeline",https://civictech.guide/atlantic-council-democracy-tech-initiative,supporting: Civil society research outfits; Fellowships | Non-profit / charity / foundation
Center for AI and Digital Policy (CAIDP),Research,,Federal,"""The Center for AI and Digital Policy aims to promote a better society, more fair, more just — a world where technology promotes broad social inclusion based on fundamental rights, democratic institutions, and the rule of law.""",,,https://www.caidp.org/,Test & Learn,Evidence Use,https://civictech.guide/center-for-ai-and-digital-policy-caidp,supporting: Civil society research outfits; Research and policy centers | Non-profit / charity / foundation
Center for Human Services Research at University at Albany SUNY,Research,Digital Services & Consulting,Federal,"CHSR is dedicated to developing empirically-based knowledge to improve the design and delivery of services that address social issues and meet community needs in the Capital region, across New York State, and across the United States.",,,https://www.albany.edu/chsr/,"Service Delivery,Test & Learn","Service Design,Evidence Use",https://civictech.guide/center-for-human-services-research-at-university-at-albany-suny,supporting: Co-design; Research and policy centers | Academic / research organization
City AI Connect,Research,Ecosystems,City,"A global community for cities to learn about generative AI together, faster.",,,https://cityaiconnect.jhu.edu/,Test & Learn,"Scaling What Works,Evidence Use",https://civictech.guide/city-ai-connect,supporting: Partner networks and coalitions; Research and policy centers | Academic / research organization
Civic Service Design Graduate Minor at The New School,Research,"Capacity Building,Digital Services & Consulting",City,"The Civic Service Design minor draws upon a practice and subfield of research and theory that connect to design, social theory, and public policy and management frameworks, methods, and tools to reformulate participation and decision making in the creation of public policies, programs, and services, with the goal of fostering more just and equitable cities and societies.",,,https://www.newschool.edu/graduate-minor/civic-service-design/,"Talent & Hiring,Service Delivery","Talent Pipeline,Service Design",https://civictech.guide/civic-service-design-graduate-minor-at-the-new-school,supporting: Academic programs; Design | Academic / research organization
Civic Trust,Digital Services & Consulting,Community,City,"Participatory Budgeting empowers communities, amplifies voices, and transforms ideas into action. Partner with Civic Trust to build engaged, thriving cities.",,,https://www.civictrust.us/,Participatory Democracy,Civic Engagement,https://civictech.guide/civic-trust,supporting: Participation consultants; Participatory budgeting | For-profit business / social enterprise / B Corp
Data Futures Lab,Philanthropy,Ecosystems,,The Data Futures Lab is an experimental space for instigating new approaches to data stewardship challenges.,,,https://www.mozillafoundation.org/en/data-futures-lab/,Test & Learn,Scaling What Works,https://civictech.guide/data-futures-lab,supporting: Funders & donors; Incubators | Non-profit / charity / foundation
DataMade,GovTech,,,"DataMade is a civic technology company. We build open source technology using open data to empower journalists, researchers, governments and advocacy organizations.",,,https://datamade.us/,Technology & Data,Shared Platforms,https://civictech.guide/datamade,supporting: Building in the private sector; Civic and social impact companies | For-profit business / social enterprise / B Corp
Democracy Innovation Hub,Research,Advocacy,,"We convene and train public servants, community leaders and educators to use participatory methods of engagement and tools, with a focus on citizens’ assemblies.",,,https://hac.bard.edu/programs/democracy-innovation-hub/,"Test & Learn,Participatory Democracy","Evidence Use,Democracy Infrastructure",https://civictech.guide/democracy-innovation-hub,supporting: Research and policy centers; Sortition & Citizen Assemblies | Academic / research organization
Digital Civil Society Lab,Research,,,"Helping civil society organizations use digital resources safely, ethically and effectively.",,,https://pacscenter.stanford.edu/research/digital-civil-society-lab/,Test & Learn,Evidence Use,https://civictech.guide/digital-civil-society-lab,supporting: Peer-reviewed research; Research and policy centers | Academic / research organization
JMI Equity,Philanthropy,Investor,,US-based Government & Nonprofit Portfolio,,,https://www.jmi.com/companies/,Test & Learn,Scaling What Works,https://civictech.guide/jmi-equity,supporting: Funders & donors; Investors | For-profit business / social enterprise / B Corp
Legal Design Lab,Research,,,"The Legal Design Lab team researches, designs, and develops new interventions to ensure access to justice for all.",,,https://law.stanford.edu/legal-design-lab,"Talent & Hiring,Test & Learn","Talent Pipeline,Evidence Use",https://civictech.guide/legal-design-lab,supporting: Public Interest Tech; Research and policy centers | Academic / research organization
Mozilla Foundation Incubator,Philanthropy,Ecosystems,,Bridging a critical gap in funding to help values-driven tech thrive,,,https://www.mozillafoundation.org/en/what-we-do/grantmaking/incubator/,Test & Learn,Scaling What Works,https://civictech.guide/mozilla-foundation-incubator,supporting: Funders & donors; Incubators | Non-profit / charity / foundation
National Digital Inclusion Alliance,Advocacy,Ecosystems,Federal,National Digital Inclusion Alliance advances digital equity by supporting community programs and equipping policymakers to act.,,,https://www.digitalinclusion.org/,"Domains,Test & Learn","Broadband & Internet Connectivity,Scaling What Works",https://civictech.guide/national-digital-inclusion-alliance,supporting: Connectivity; Partner networks and coalitions | Non-profit / charity / foundation
Policy Innovation Lab (PIL) at Heinz College,Research,Capacity Building,,"The Policy Innovation Lab (PIL) is an intensive, applied policy course at Heinz College that prepares students to become public interest technologists who are creative, ethical, inclusive, and responsive.",,,https://www.heinz.cmu.edu/about/public-interest-technology/policy-innovation-lab,Talent & Hiring,Talent Pipeline,https://civictech.guide/policy-innovation-lab-pil-at-heinz-college,supporting: Academic programs; Public Interest Tech | Academic / research organization
research4impact,Research,,,"We envision a world in which people with diverse forms of expertise seamlessly learn from each other, particularly those working to understand and solve complex social problems.",,,https://r4impact.org/,Test & Learn,Evidence Use,https://civictech.guide/research4impact,supporting: Civil society research outfits; Research and policy centers | Non-profit / charity / foundation
Social Workers Who Design,Digital Services & Consulting,,,"Empowering design leaders , educators , and practitioners with thoughtful and strategic guidance on trauma-informed design, research, and practice.",,,https://www.socialworkerswho.design,Service Delivery,Service Design,https://civictech.guide/social-workers-who-design,supporting: Design; Social impact design firms | For-profit business / social enterprise / B Corp
Urban US,Ecosystems,Philanthropy,City,The first venture fund for startups that are making cities better.,,,https://urban.us/,Test & Learn,Scaling What Works,https://civictech.guide/urban-us,supporting: Accelerators; Funders & donors
AI Accountability Fellowships,Fellowships,,,"The Al Accountability Fellowships seek to support journalists working on in-depth AI accountability stories that examine governments' and corporations’ uses of predictive and surveillance technologies to guide decisions in policing, medicine, social welfare, the criminal justice system, hiring, and more.",,,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/ai-accountability-fellowships,Talent & Hiring,Talent Pipeline,https://civictech.guide/ai-accountability-fellowships,supporting: Fellowships | Non-profit / charity / foundation
"American University MA in Media, Technology and Democracy | School of Communication",Research,Capacity Building,,"Become a Media and Technology Policy Expert The new American University School of Communication MA in Media, Technology & Democracy will give you the tools you need to examine complex social problems, analyze emerging trends in media and technology, and develop and evaluate policy.",,,https://www.american.edu/soc/communication-studies/ma/ma-mtd.cfm,Talent & Hiring,Talent Pipeline,https://civictech.guide/american-university-ma-in-media-technology-and-democracy-school-of-communication,supporting: Academic programs | Academic / research organization
Analytics Exchange,Government,Community,City,A community of practice for data analysts across City agencies that has since grown to over 800 members at more than 60 agencies.,,,https://www1.nyc.gov/site/analytics/initiatives/analytics-exchange.page,Participatory Democracy,Civic Engagement,https://civictech.guide/analytics-exchange,supporting: Peer networks | Government / public sector
Anthro-Tech,Digital Services & Consulting,,,"We’re a human-centered design consultancy focused on government agencies, nonprofits and enterprises with a social-impact mission.",,,https://anthro-tech.com/,Service Delivery,Service Design,https://civictech.guide/anthro-tech,supporting: Social impact design firms | For-profit business / social enterprise / B Corp
Applied Remote Sensing Training Program (ARSET),Government,Capacity Building,,ARSET offers satellite remote sensing training that builds the capacity of organizations to use NASA Earth science data in their decision-making.,,,https://www.earthdata.nasa.gov/data/projects/arset,Talent & Hiring,Workforce Development,https://civictech.guide/applied-remote-sensing-training-program-arset,supporting: Courses | Government / public sector
AWS Institute,GovTech,,,The AWS Institute is a thought leadership and executive education program to accelerate digital transformation in the public sector.,,,https://aws.amazon.com/institute/,Technology & Data,Shared Platforms,https://civictech.guide/aws-institute,supporting: Civic teams at tech companies | For-profit business / social enterprise / B Corp
Bloomberg Center for Cities at Harvard University,Research,,City,"Founded in 2021 with Bloomberg Philanthropies, the Bloomberg Center for Cities at Harvard University serves a global community committed to improving public management, leadership, and governance.",,,https://cities.harvard.edu/,Test & Learn,Evidence Use,https://civictech.guide/bloomberg-center-for-cities-at-harvard-university,supporting: Research and policy centers | Academic / research organization
Bloomberg Center for Public Innovation at Johns Hopkins University,Research,,City,The Bloomberg Center for Public Innovation at Johns Hopkins University drives innovation in local government by marrying cutting-edge practice with world-class research.,,,https://publicinnovation.jhu.edu/,Test & Learn,Evidence Use,https://civictech.guide/bloomberg-center-for-public-innovation-at-johns-hopkins-university,supporting: Research and policy centers | Academic / research organization
Bloomberg Harvard City Leadership Initiative,Research,Capacity Building,City,"Research and resources for city leaders to expand their problem-solving capacity, build effective city hall organizations, and improve outcomes for residents around the world",,,https://cityleadership.harvard.edu/,Talent & Hiring,Talent Pipeline,https://civictech.guide/bloomberg-harvard-city-leadership-initiative,supporting: Academic programs | Academic / research organization
Boston University Initiative on Cities,Research,,City,"The Initiative on Cities serves as a hub for urban related research and teaching across Boston University. We engage with urban leaders, policymakers, academics, and students from around the world to work toward sustainable, just, and inclusive urban transformation.",,,https://www.bu.edu/ioc/,Test & Learn,Evidence Use,https://civictech.guide/boston-university-initiative-on-cities,supporting: Research and policy centers | Academic / research organization
BU Initiative on Cities,Research,,City,"The Initiative on Cities engages with urban leaders, academics, and policy makers from around the world to help plan for the development of essential services and sustainable infrastructure necessary for cities to flourish.",,,http://www.bu.edu/ioc/,Test & Learn,Evidence Use,https://civictech.guide/bu-initiative-on-cities,supporting: Research and policy centers | Academic / research organization
Bully Pulpit International,GovTech,,,"We are an outcomes agency at the intersection of business, politics, and policy. Ideas alone are not enough. We make change possible.",,,https://www.bpigroup.com/,Technology & Data,Shared Platforms,https://civictech.guide/bully-pulpit-international,supporting: Building in the private sector | For-profit business / social enterprise / B Corp
Charles F. Kettering Foundation Democracy and Community program,Philanthropy,,,The Kettering Foundation's research program exploring the relationship between democratic practices and community life.,,,https://kettering.org/democracy-and-community,Test & Learn,Scaling What Works,https://civictech.guide/charles-f-kettering-foundation-democracy-and-community-program,supporting: Funders & donors | Non-profit / charity / foundation
CIV:Lab,GovTech,,City,"A global platform connecting physical places: a curated network for civic innovation, connecting local innovators with government, academia, business, and community both within their cities and around the world.",,,https://civ-lab.org/,Domains,Housing & Land Use,https://civictech.guide/civlab,supporting: Urban planning | Non-profit / charity / foundation
Civic Data Atlas,GovTech,,City,Bringing comprehensive Census demographic profiles to city council districts for the first time.,,,https://civicdataatlas.org/,Test & Learn,Outcomes Measurement,https://civictech.guide/civic-data-atlas,supporting: Dashboards | Non-profit / charity / foundation
Civic Data Privacy Leaders Network,Community,,City,"A collaborative that will provide an active, authoritative resource for municipal leaders to navigate emerging privacy issues, share practical guidance, and promote fair and transparent data practices",,,https://metrolabnetwork.org/metrolab-partners-with-future-of-privacy-forum-to-advance-civic-data-privacy/,Participatory Democracy,Civic Engagement,https://civictech.guide/civic-data-privacy-leaders-network,supporting: Peer networks
Civic Data Tech,Community,Ecosystems,,"Civic Data Tech is an initiative that supports the open-source projects and maintainers powering civic data pipelines, working to keep civic data accessible, verifiable, and governed by open standards across all levels of government.",,,https://civicdatatech.github.io,Test & Learn,Scaling What Works,https://civictech.guide/civic-data-tech,supporting: Partner networks and coalitions | Grassroots / Indie project
Civic Engagement Microgrant Program,Advocacy,Philanthropy,,"The Microgrant program provides funding for STEM graduate students, professional students (medical, dental, nursing, pharmacy, etc.), and postdocs who want to create projects that build policy, communications, and program management skills and are aimed at building dialogue with public officials, community leaders, and community members around issues of common interest.",,,https://www.researchamerica.org/civic-science/microgrants/,Test & Learn,Scaling What Works,https://civictech.guide/civic-engagement-microgrant-program,supporting: Funders & donors | Advocacy organization
Civic Infrastructure Collaborative,GovTech,,City,Civic Infrastructure Collaborative drives public value from core urban infrastructure through cross-sector collaboration and technology-enabled innovation.,,,https://www.infrastructureforward.org/,Domains,Housing & Land Use,https://civictech.guide/civic-infrastructure-collaborative,supporting: Urban planning | Non-profit / charity / foundation
Civic Leadership Academy at U Chicago,Research,Capacity Building,City,The Civic Leadership Academy is an interdisciplinary leadership development program for emerging and high-potential leaders in nonprofit organizations and local government agencies within the City of Chicago and Cook County.,,,http://cla.uchicago.edu/,Talent & Hiring,Workforce Development,https://civictech.guide/civic-leadership-academy-at-u-chicago,supporting: Courses | Academic / research organization
Climate Democracy Accelerator,Ecosystems,,,Climate Democracy Action (CDA) is a practice-oriented training and support program that prepares advocates and policymakers to use participatory strategies to drive local governments’ response to the climate crisis.,,,https://peoplepoweredhub.squarespace.com/climate-democracy-action,Test & Learn,Scaling What Works,https://civictech.guide/climate-democracy-accelerator,supporting: Accelerators | Non-profit / charity / foundation
Code for Baltimore,Community,,,"We are a community of volunteers who develop open-source projects as a Code for America Brigade by focusing on open government, open data, great design, and social good in Baltimore.",,,http://www.codeforbaltimore.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-baltimore,supporting: Civic hacking meetups | Non-profit / charity / foundation
Code for Bloomington,Community,,,"Code for Bloomington is an official Code for America Brigade in Bloomington, IN working on projects with government and community partners to improve people’s lives.",,,https://bmghack.github.io/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-bloomington,supporting: Civic hacking meetups | Non-profit / charity / foundation
Code for Boulder,Community,,City,"Code For Boulder lies within the intersection of tech, data, and community engagement. Boulder is a vibrant city; we join up with local government, non-profits, and community organizers to help bring out the best in the place we call home.",,,http://web.archive.org/web/20200717110851/http://www.codeforboulder.org:80/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-boulder,supporting: Civic hacking meetups
Code for Chapel Hill,Community,,City,Bridging the gap between local government and human capital in Chapel Hill,,,http://www.codeforchapelhill.com/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-chapel-hill,supporting: Civic hacking meetups
Code for Charlotte,Community,,,"Think volunteer fire brigade for the 21st Century. We are a volunteer citizen brigade. We use technology and advocacy as a tool for open government, open data and civic engagement.",,,http://codeforcharlotte.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-charlotte,supporting: Civic hacking meetups
Code for Denver,Community,,City,We build software to help nonprofits and local government better serve their community.,,,http://web.archive.org/web/20220331073929/https://codefordenver.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-denver,supporting: Civic hacking meetups | Grassroots / Indie project
Code for Fort Collins,Community,,City,"Code for Fort Collins is a volunteer organization who develops technology-driven solutions to challenges faced by charities, government agencies, and other groups within the city.",,,http://codeforfoco.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-fort-collins,supporting: Civic hacking meetups
Code for Fort Lauderdale,Community,,,"Come join idea-makers, designers, citizen leaders, developers, and data geeks who volunteer to help the Fort Lauderdale government and civic orgs adopt open web technologies.",,,http://codeforftl.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-fort-lauderdale,supporting: Civic hacking meetups | Grassroots / Indie project
Code for Jersey City,Community,,City,"Code for Jersey City is a nonpartisan, civic-tech, volunteer community group that collaborates with local government and community partners",,,https://www.meetup.com/Code-For-Jersey-City/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-jersey-city,supporting: Civic hacking meetups
Code for Nashville,Community,,,Code for Nashville is Nashville's Code for America Brigade. We are volunteers who collaborate with Metro government to promote open data and build civic apps.,,,http://www.codefornashville.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-nashville,supporting: Civic hacking meetups | Grassroots / Indie project
Code for New Hampshire,Community,,,"Code for New Hampshire is an unofficial Code for America Brigade, a group of volunteers that bring community members together to make government work better.",,,http://www.codefornh.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-new-hampshire,supporting: Civic hacking meetups | Grassroots / Indie project
Code for Phoenix,Community,,City,"The Phoenix Brigade focuses on civic hacking, municipal innovation, and citizen engagement in the Phoenix metropolitan area.",,,https://www.meetup.com/CodeforPhoenix/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-phoenix,supporting: Civic hacking meetups
Code for Sonoma County,Community,,City,Code for Sonoma County is a Code for America brigade or local chapter focused on improving the lives of residents of Sonoma County.,,,https://www.meetup.com/Code-for-Sonoma-County/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-sonoma-county,supporting: Civic hacking meetups
Code for Tampa Bay,Community,,,"Code for Tampa Bay is an official Code for America Brigade in Tampa, FL working on projects with government and community partners to improve people’s lives.",,,https://codefortampabay.org/,Talent & Hiring,Expert Contribution,https://civictech.guide/code-for-tampa-bay,supporting: Civic hacking meetups
Community Foundation for the National Capital Region,Philanthropy,,"Federal, City",The Greater Washington Community Foundation works to strengthen the Washington metropolitan region by encouraging and supporting effective giving and by providing leadership on critical issues in our community,,,https://www.thecommunityfoundation.org/,Test & Learn,Scaling What Works,https://civictech.guide/community-foundation-for-the-national-capital-region,supporting: Funders & donors | Non-profit / charity / foundation
