Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic
ASTHO (Association of State and Territorial Health Officials),Ecosystems,Capacity Building,"Federal,State","National association of state and territorial public health officials (59 jurisdictions). One of three CDC-designated national partners for the Public Health Infrastructure Grant (PHIG, 2022-2027) supporting 107 health departments; CDC terminated PHIG awards to CA, CO, IL, and MN in Feb 2026, a decision under litigation. Co-launched the $255M Public Health Data Modernization Implementation Center Program (2024) and runs the PH WINS workforce survey with de Beaumont Foundation.",Membership,"CDC cooperative agreements (primary, including $155M+ PHIG share) + membership dues from state/territorial health officials + federal grants",astho.org,"Domains,Technology & Data,Talent & Hiring,Procurement & Operations","Public Health,Data Integration,Talent Pipeline,Operational Excellence"
Bloomberg Cities Network,Ecosystems,Philanthropy,City,"JHU-hosted peer network for city leaders and innovators, created in partnership with Bloomberg Philanthropies. Provides peer networking, idea exchange, training resources, and city solution replication infrastructure. Distinct from the Bloomberg Harvard City Leadership Initiative (training) and Bloomberg Philanthropies Government Innovation (grantmaking).",Philanthropy,Bloomberg Philanthropies,bloombergcities.jhu.edu,"Test & Learn,Domains,Participatory Democracy","Scaling What Works,Outcomes Measurement,AI in Government,Civic Engagement"
Bloomberg Philanthropies City Data Alliance,Ecosystems,Capacity Building,City,"Bloomberg Philanthropies program investing 60 million to help cities across the Americas build data infrastructure and AI readiness. 65 cities across 12 countries in current cohort. Structured peer learning model: mayors and chief data officers receive training, tools, and peer network access to advance data-driven governance.",Philanthropy,"Bloomberg Philanthropies (60 million program, launched 2022)",bloomberg.org/government-innovation,"Test & Learn,Domains,Technology & Data","Outcomes Measurement,AI in Government,Data Integration,Scaling What Works,Evidence Use"
City Innovate,Ecosystems,Advocacy,City,"San Francisco-based nonprofit running the Startup in Residence (STIR) program, connecting startups to government agencies to co-design technology solutions for defined government challenges. Structured procurement reform model that creates a path from co-design to contract. Operates nationally.","Government Contracts, Grants",Government agency fees; philanthropic grants,cityinnovate.org,"Procurement & Operations,Test & Learn","Procurement Reform,Scaling What Works"
CivStart,Ecosystems,Investor,City,"Nonprofit govtech accelerator for state and local government, with six cohorts and 71+ startups scaled. Runs a 12-month accelerator, GovTech Lab, and a Venture Partner Network; its recent cohort focused on AI in local government with NLC and GovAI Coalition.","Grants, Philanthropy",Foundation grants; government and corporate partnerships,civstart.org,"Procurement & Operations,Test & Learn,Domains","Procurement Reform,Scaling What Works,AI in Government"
Colorado Smart Cities Alliance,Ecosystems,Advocacy,City,"Statewide coalition of government, business, and academic partners convening around smart city technology adoption in Colorado. Runs challenge-based procurement programs, pilots, and the Smart Futures Lab accelerator. Member of the National Smart Coalitions Partnership.","Membership, Grants","Member dues; NSF, EDA grants",coloradosmart.city,"Domains,Procurement & Operations","Physical Infrastructure,Procurement Reform"
GovAI Coalition,Ecosystems,Advocacy,"State,City","Coalition of 3,000+ public servants from 900+ government agencies promoting responsible public sector AI. Founded by the City of San Jose in 2023; San Jose's council approved its transition to an independent nonprofit in April 2026. Produces AI policy templates, vendor AI FactSheets, use case libraries, and an AI Contract Hub.",Government,"City of San Jose (founding host); Packard Foundation ($150K nonprofit transition grant, 2026); member contributions",sanjoseca.gov/govai,"Domains,Participatory Democracy,Test & Learn,Procurement & Operations","AI in Government,Transparency & Accountability,Scaling What Works,Procurement Reform"
HSITAG (Human Services IT Advisory Group),Ecosystems,,"Federal,State,City","Nonprofit trade association under CompTIA (founded 1993, 123 member companies) bridging health and human services IT vendors and government HHS agencies. Advises federal and state HHS technology procurement officials.",Membership,Member dues from 123 technology companies; CompTIA affiliation,hsitag.org,"Service Delivery,Technology & Data,Procurement & Operations","Benefits Access,Data Integration,Legacy Systems,Procurement Reform,Operational Excellence"
Illinois Smart City and Region Association (ISCRA),Ecosystems,Advocacy,City,501c3 nonprofit association bringing municipalities and technology vendors together in a neutral forum to advance smart city and region initiatives across Illinois. Member of the National Smart Coalitions Partnership.,"Membership, Grants",Member dues; grant funding,illinoissmart.org,"Domains,Procurement & Operations","Physical Infrastructure,Procurement Reform,Operational Excellence"
KC Digital Drive,Ecosystems,"Advocacy,Community",City,"Kansas City-based nonprofit founded in 2012 to make the region a digital leader. Runs Code for KC, convenes the KC Coalition for Digital Inclusion, and hosts civic tech and smart city programs. Member of the National Smart Coalitions Partnership.","Grants, Philanthropy","Bloomberg Philanthropies, Knight Foundation, NSF",kcdigitaldrive.org,"Participatory Democracy,Technology & Data,Service Delivery,Domains","Civic Engagement,Data Integration,Benefits Access,Broadband & Internet Connectivity"
Leading Cities,Ecosystems,,City,"Global city network running AcceliGOV, which deploys vetted smart city solutions into municipalities through 90-day paid pilots and handles sourcing, vetting, and deployment. 32+ projects completed, targeting 100 resilience projects by 2030 across flood risk, water, mobility, and infrastructure.",Mixed,Philanthropic grants + corporate partnerships + city engagement fees,leadingcities.org,"Domains,Service Delivery,Procurement & Operations","Physical Infrastructure,AI in Government,Procurement Reform,Service Design"
NASCIO (National Association of State Chief Information Officers),Ecosystems,"Think Tank,Research",State,"Peer network, research body, and voice for state CIOs. Runs the annual State CIO Survey and State CIO Top 10 Priorities, plus research with McKinsey, EY, and Deloitte on GenAI, cybersecurity, and data. Hosts national conferences and the State IT Recognition Awards.",Government,State membership dues + corporate associate program + conference revenue,nascio.org,"Domains,Technology & Data,Procurement & Operations,Test & Learn","AI in Government,Data Security,Operational Excellence,Scaling What Works,Procurement Reform"
National Association of State Workforce Agencies (NASWA),Ecosystems,Capacity Building,"Federal,State","National association (est. 1937) of state workforce agencies in all 50 states, DC, and territories. Operates shared UI and workforce technology infrastructure, including the UI and Workforce IT Support Centers, UI SIDES, UI ICON, and the National Labor Exchange. Partnered with the Beeck Center and DOL on the Open UI Initiative; CESER is its research and consulting arm.",Membership,Membership dues from 50 state workforce agencies + federal contracts and cooperative agreements (DOL); CESER 501(c)(3) arm receives federal grants,naswa.org,"Technology & Data,Talent & Hiring,Procurement & Operations","Legacy Systems,Workforce Development,Operational Excellence,Data Integration,Procurement Reform"
NNPHI (National Network of Public Health Institutes),Ecosystems,Capacity Building,"Federal,State,City","Membership association of 40+ state and regional public health institutes. One of three CDC-designated national partners for the Public Health Infrastructure Grant (PHIG, 2022-2027), providing TA through nine Regional Innovation Hubs and co-leading the PHIG evaluation; CDC terminated PHIG awards to four states in Feb 2026, a decision under litigation. Operates the National Coordinating Center for Public Health Training and co-launched the $255M Public Health Data Modernization Implementation Center Program (2024).",Membership,"CDC cooperative agreements (primary, including PHIG share) + member fees + federal and foundation grants (Robert Wood Johnson Foundation, HHS Office of Minority Health)",nnphi.org,"Domains,Technology & Data,Talent & Hiring,Procurement & Operations,Test & Learn","Public Health,Data Integration,Talent Pipeline,Operational Excellence,Scaling What Works"
North Texas Innovation Alliance (NTXIA),Ecosystems,Advocacy,City,"501c3 regional consortium of 50+ municipalities, agencies, corporations, and academic institutions across North Texas. Facilitates call-for-innovation programs, procurement reform, and smart region strategy. Largest initiative of its kind in the US.","Membership, Grants",Member dues; grant funding,ntxia.org,"Procurement & Operations,Domains","Procurement Reform,Physical Infrastructure"
Partnership Fund for NYC,Ecosystems,"Investor,Philanthropy",City,"NYC-based evergreen fund running structured challenge programs connecting early-stage startups to public agencies (MTA, Port Authority, NYCHA) for proof-of-concept pilots and procurement pathways. Has brokered 32 million+ in government contracts. Ecosystem intermediary bridging GovTech vendors and city government.","Philanthropy, Government Contracts",Philanthropic and public agency contributions,pfnyc.org,"Procurement & Operations,Test & Learn","Procurement Reform,Scaling What Works"
SETDA (State Educational Technology Directors Association),Ecosystems,Advocacy,State,"National association (founded 2001) of state and territorial education technology leaders, including state education agency CIOs. Publishes the annual State EdTech Trends report and procurement guidance, and builds state education agency capacity to adopt technology responsibly.",Membership,"State education agency membership dues + foundation grants (Siegel Family Endowment, Google.org) + federal education grants",setda.org,"Domains,Procurement & Operations,Test & Learn,Technology & Data","Education Delivery,AI in Government,Procurement Reform,Scaling What Works,Data Security"
Smart North Florida (SNF),Ecosystems,Advocacy,City,"Nonprofit dedicated to harnessing regional collaboration, data coordination, and smart technologies to improve Northeast Florida economic competitiveness, sustainability, and quality of life. Member of the National Smart Coalitions Partnership.","Membership, Grants",Member dues; grant funding,smartnorthflorida.org,"Domains,Technology & Data,Procurement & Operations","Physical Infrastructure,Data Integration,Operational Excellence"
Southern Arizona Smart Region (Regional Partnering Center),Ecosystems,Advocacy,City,"Greater Tucson regional smart city initiative led by the Regional Partnering Center, a public-private partnership. Works to build economic competitiveness and quality of life through collaborative smart region strategy. Member of the National Smart Coalitions Partnership.","Membership, Grants",Member dues; grant funding,regionalpartneringcenter.org,"Domains,Procurement & Operations,Technology & Data","Physical Infrastructure,Procurement Reform,Data Integration,Operational Excellence"
The Connective,Ecosystems,Advocacy,City,"Greater Phoenix smart region consortium launched in 2019. Partners public sector, academia, industry, and civic institutions to co-design and deploy technology solutions for regional challenges. Problem-driven model: cities surface needs, the Connective facilitates solution development.",Membership,Member dues,connective.city,"Domains,Procurement & Operations","Physical Infrastructure,Procurement Reform"
US Ignite,Ecosystems,"Advocacy,Research","Federal,City","National nonprofit (NSF-originated) providing technical assistance and capacity-building to communities navigating broadband deployment and smart city development. Manages federal funding identification tools, runs community programs including Project OVERCOME, and operates the PAWR advanced wireless research platform.","Grants, Government Contracts","NSF, Schmidt Futures, Knight Foundation; federal program funding",us-ignite.org,"Domains,Test & Learn","Physical Infrastructure,Scaling What Works,Broadband & Internet Connectivity"
AAAS S&T Policy Fellowships,Fellowships,,Federal,"1-2 year fellowships placing scientists and engineers in federal agencies and Congress. Expanded AI tracks. 3,500+ alumni since 1973.",Government,AAAS membership + agency sponsorship,aaas.org/stpf,Talent & Hiring,"Expert Contribution,Talent Pipeline"
California Capital Fellows Program,Fellowships,,State,"Four fellowships (Assembly, Senate, Executive, Judicial) placing 64 fellows/year at highest levels of CA state government for 10-11 months. Fellows assist legislators, senior executive staff, and court administrators on policy. Nationally recognized.",Government,CA state general fund,csus.edu/center/center-california-studies/capital-fellows,Talent & Hiring,"Talent Pipeline,Hiring Process,Expert Contribution"
CCST (California Council on Science and Technology),Fellowships,Research,State,Hybrid research and fellowship organization placing 10-15 PhD-level fellows annually into the California Legislature and Executive Branch. One of the longest-running state-level science fellowship programs in the US.,"Government, Philanthropy",State general fund; foundation grants,ccst.us,Talent & Hiring,"Expert Contribution,Talent Pipeline"
CivicSpark (AmeriCorps),Fellowships,,"State,City","11-month AmeriCorps fellowship placing ~150 fellows/year in local governments and community orgs for capacity building on climate, housing, water, transportation, public health. 1,000+ alumni since 2014. Expanding beyond CA/CO/WA to all states starting 2025.","Government,Philanthropy","AmeriCorps federal funding + local agency cost-share ($37,500/fellow)",civicsparkfellowship.org,"Talent & Hiring,Domains","Talent Pipeline,Physical Infrastructure,Broadband & Internet Connectivity,Public Health,Expert Contribution"
Coding it Forward Fellowship,Fellowships,,"Federal,State,City","10-week paid summer placement of early-career technologists in federal, state, and local government. Five tracks: data, design, product, software, cybersecurity. 700+ alumni.",Philanthropy,"Ford Foundation, Siegel Family Endowment, McGovern Foundation, Pivotal Ventures",codingitforward.com,Talent & Hiring,"Talent Pipeline,Hiring Process,Expert Contribution"
Cornell Tech PiTech Initiative,Fellowships,Research,"Federal,State,City","PhD Impact Fellowships, Visiting Practitioner's Program, and PiTech Impact Studio for graduate students working on public interest technology.",University,Cornell Tech endowment,tech.cornell.edu/pitech,Talent & Hiring,"Talent Pipeline,Expert Contribution"
Coro Fellows Program in Public Affairs,Fellowships,Capacity Building,"Federal,State,City","7-9 month full-time leadership fellowship rotating fellows through government, nonprofit, business, and labor placements. 80+ year track record and 15,000+ alumni; programs in LA, SF, NYC, Pittsburgh, and St. Louis.",Philanthropy,Philanthropic + earned revenue,corofellowship.org,"Talent & Hiring,Participatory Democracy","Talent Pipeline,Expert Contribution,Civic Engagement"
DC Capital City Fellows Program (CCFP),Fellowships,,City,"18-month mayoral initiative placing recent masters graduates in DC government agencies. Three 6-month rotations across government operations, health/human services, public safety, planning, or education. Entry salary ~$62K.",Government,DC government budget,dc.gov/capitalcityfellows,Talent & Hiring,"Talent Pipeline,Hiring Process,Expert Contribution"
FUSE Corps,Fellowships,Capacity Building,"State,City",1-year executive fellowship placing experienced professionals in city/county agencies for strategic projects. 250+ projects across 42 cities/18 states.,Philanthropy,"Ford Foundation, Hewlett Foundation, Chan Zuckerberg Initiative, Irvine Foundation",fuse.org,"Talent & Hiring,Procurement & Operations,Test & Learn","Talent Pipeline,Operational Excellence,Expert Contribution,Outcomes Measurement"
Georgetown McCourt Tech & Policy Visiting Fellows,Fellowships,Research,"Federal,State,City","Semester-long visiting fellowship for tech policy practitioners at Georgetown McCourt School. Multiple USDS alumni and former federal tech officials in inaugural 2025 cohort. Fellows write policy essays, mentor students, and conduct research.",University,Georgetown University,mccourt.georgetown.edu/tech-and-public-policy,"Talent & Hiring,Domains","Expert Contribution,AI in Government"
Govern for America (GFA),Fellowships,Research,State,Two-year paid fellowship placing recent graduates in high-impact state/local government roles. Published AI x Talent research for states.,Philanthropy,"Microsoft, Public Interest Tech Fund (Ford/Siegel/McGovern/Pivotal)",govforamerica.org,Talent & Hiring,"Talent Pipeline,Hiring Process,Expert Contribution"
Harvard Ash Center Democracy Fellowships,Fellowships,Research,"Federal,State,City","Financial support for doctoral and postdoctoral researchers studying democratic governance, innovation in government, and civic technology. Part of the Ash Center's Program on Democratic Governance.","University,Philanthropy",Ford Foundation endowment + Harvard,ash.harvard.edu,"Participatory Democracy,Test & Learn","Democracy Infrastructure,Civic Engagement,Evidence Use"
Horizon Institute for Public Service,Fellowships,Capacity Building,"Federal,State,City",Training and fellowships for scientists and technologists entering government service.,Philanthropy,Philanthropic grants,horizoninstitute.org,Talent & Hiring,"Expert Contribution,Talent Pipeline"
Judicial Innovation Fellowship (Georgetown),Fellowships,Research,"State,City","1-year fellowship placing technologists, designers, and user testers in state, local, tribal, and territorial courts to build data infrastructure, simplify processes, and improve access to justice. Inaugural cohort 2023-24. Incubated at Georgetown Law's Institute for Technology Law & Policy.",Philanthropy,State Justice Institute (SJI) grants + Georgetown,law.georgetown.edu/tech-institute/programs-and-initiatives/georgetown-justice-lab/judicial-innovation,"Domains,Service Delivery,Test & Learn,Talent & Hiring","Criminal Justice,Service Design,Iterative Learning,Expert Contribution"
Lead for America,Fellowships,,City,"AmeriCorps-backed fellowship placing young leaders in local governments and nonprofits in their hometowns, focused on rural and underserved communities. Runs the American Connection Corps digital inclusion program.","Government, Philanthropy",AmeriCorps; foundation grants,leadforamerica.org,"Talent & Hiring,Domains,Participatory Democracy","Talent Pipeline,Hiring Process,Broadband & Internet Connectivity,Civic Engagement,Expert Contribution"
Media Democracy Fund Fellowships,Fellowships,,"Federal,State,City",Technology Exchange (12+ months at civil society orgs) and PhDX Fellowship (PhD students at DC policy orgs). Focused on public interest technology and media policy.,Philanthropy,Media Democracy Fund,mediademocracyfund.org,Participatory Democracy,"Transparency & Accountability,Civic Engagement,Democracy Infrastructure"
NobleReach Scholars (NobleReach Foundation),Fellowships,,"Federal,State,City","1-2 year fully paid fellowship placing early-career technologists (AI, cybersecurity, process innovation) in federal, state, and local government. Launched 2024; the 2025 cohort of 28 included state and local placements such as Oklahoma City, Pittsburgh, and Maryland DoIT. NobleReach is the founding nonprofit partner of OPM's U.S. Tech Force.",Philanthropy,$400M+ endowment from LMI Consulting divestiture; fellows receive full salary + $15K stipend,noblereach.org,"Talent & Hiring,Domains","Talent Pipeline,AI in Government,Hiring Architecture,Expert Contribution"
Paragon Policy Fellowship,Fellowships,,"Federal,State,City",Connects university students and recent graduates with technology policy and digital governance work.,Philanthropy,Philanthropic grants,paragonpolicyfellowship.org,Talent & Hiring,"Talent Pipeline,Expert Contribution"
S&T Impact Advisory Group,Fellowships,Advocacy,Federal,Advisory and program support organization helping science and technology fellowship programs launch and scale. Works with state legislatures and agencies to develop new S&T fellowship capacity.,"Philanthropy, Government Contracts",Foundation and government funding,stimpact.org,Talent & Hiring,"Expert Contribution,Talent Pipeline"
S&T Impact: State Legislative Futures Forum,Fellowships,Capacity Building,State,Partnership with TechCongress to extend tech policy fellowship model to state legislatures. Inaugural State Legislative Futures Forum held in DC 2025. Trains technologists on state-level policymaking.,Philanthropy,Philanthropic grants,stimpact.org,Talent & Hiring,"Expert Contribution,Talent Pipeline"
TechCongress,Fellowships,,Federal,1-year fellowship placing technologists as policy advisors in Congressional offices and committees. Bipartisan placements.,Philanthropy,"Hewlett Foundation, Omidyar Network, Ford Foundation",techcongress.io,Talent & Hiring,"Expert Contribution,Talent Pipeline"
xD (U.S. Census Bureau),Fellowships,,Federal,"Emerging technology fellowship for mid-career technologists at Census Bureau focused on AI/ML, data engineering, and emerging tech.",Government,Commerce Dept. appropriations,xd.gov,"Technology & Data,Domains,Participatory Democracy,Talent & Hiring","Data Integration,AI in Government,Transparency & Accountability,Talent Pipeline"
18F (GSA),Government,,Federal,"Defunct (Mar 2025). Former GSA consultancy that provided agile development, procurement consulting, user research, and open-source tooling to federal agencies; alumni continue its open-source resources externally.",Government (defunct),Was cost-recoverable within GSA,18f.gsa.gov,"Procurement & Operations,Participatory Democracy,Technology & Data","Procurement Reform,Transparency & Accountability,Legacy Systems,Shared Platforms"
ACF Digital Service,Government,Digital Services & Consulting,Federal,"Digital service team within the Administration for Children and Families (HHS). Builds and improves technology for federal child welfare, TANF, and human services programs. Verified active with 11-15 FTE.",Government,Federal appropriations (HHS/ACF),acf.hhs.gov,"Domains,Service Delivery,Technology & Data","Child Welfare,Benefits Access,Legacy Systems"
Arizona Strategic Enterprise Technology Office (ADOA-ASET),Government,,State,"Statewide IT strategy and digital services division of the Arizona Department of Administration. Closed 90 on-premises data centers, migrated 2,900+ applications, and runs the Office of Digital Solutions managing 200+ agency websites and Business One Stop. Earned an A- on the 2024 Digital States Survey.",Government,AZ state general fund; Web Portal Fund; ADOA automation operations fund,aset.az.gov,"Technology & Data,Procurement & Operations,Service Delivery","Legacy Systems,Data Security,Operational Excellence,Service Design"
Arlington County Digital Innovation,Government,,City,"County digital innovation division with 7+ year AI program. Operates virtual assistant 'Ava', enterprise data warehouse, and open-source ML tools.",Government,County budget,arlingtonva.us,"Technology & Data,Procurement & Operations,Domains","Data Integration,Operational Excellence,AI in Government"
ARPA-H,Government,Research,Federal,"Funds high-risk, high-reward health research via ARPA model: empowered program managers, milestone-based funding, other transaction authority. ~$1.5B annual budget.",Government,Congressional appropriations (HHS); multi-year carry-over,arpa-h.gov,"Domains,Test & Learn","Healthcare Access,Iterative Learning,Crisis Response"
Austin Office of Design & Delivery,Government,,City,"Municipal digital services team providing service design, user research, content strategy, and digital forms for city services.",Government,City budget,austintexas.gov,"Service Delivery,Test & Learn","Service Design,Benefits Access,Iterative Learning"
Baltimore Digital,Government,,City,Digital services team within the Baltimore Mayor's Office. Focuses on human-centered design and resident-facing digital service delivery. Confirmed active under Mayor Brandon Scott administration.,Government,City budget,baltimorecity.gov,Service Delivery,"Service Design,Benefits Access"
BIA Indigenous Connectivity and Technology Division,Government,,Federal,"Division of the Bureau of Indian Affairs Office of Trust Services providing technical assistance to Tribal Nations on broadband, spectrum leasing, and digital capacity. Established 2022-2023; coordinates with FCC, NTIA, and Commerce on tribal connectivity. Operational status since January 2025 is unconfirmed, as its web content was archived at the change of administration.",Government,Interior Dept. appropriations; BIA budget,bia.gov/bia/ots/ict,"Domains,Technology & Data","Physical Infrastructure,Data Integration,Broadband & Internet Connectivity"
Boston Department of Innovation and Technology (DoIT),Government,,City,"City of Boston's enterprise technology organization (~150 staff) serving 18,000+ city employees. The City Council codified DoIT in May 2025, giving it formal authority over citywide technology procurement, cybersecurity, and data governance. Manages BOS:311, digital services, Wicked Free Wi-Fi, and a Digital Equity Fund.",Government,City of Boston budget; federal digital equity grants (MBI Partnership Grant),boston.gov/government/cabinets/innovation-and-technology,"Technology & Data,Domains,Service Delivery","Legacy Systems,Data Security,Broadband & Internet Connectivity,Service Design"
California Office of Data & Innovation (ODI),Government,Capacity Building,State,"Statewide digital services team delivering user research, content design, data analytics, and plain language guidance across CA state agencies.",Government,State general fund,innovation.ca.gov,"Service Delivery,Procurement & Operations,Technology & Data","Service Design,Benefits Access,Regulatory & Administrative Burden,Data Integration"
Chicago Department of Technology and Innovation (DTI),Government,,City,Citywide technology department created in late 2023 to consolidate and rethink Chicago's IT. Maintains the Chicago Design System and coordinates technology across city departments to reduce complexity and improve digital services.,Government,City of Chicago budget appropriations,chicago.gov/city/en/depts/dti.html,"Technology & Data,Procurement & Operations,Service Delivery,Domains","Legacy Systems,Operational Excellence,Service Design,AI in Government"
City and County of Denver - Peak Academy & Technology Services,Government,Capacity Building,City,"Two city capacity units. Peak Academy has trained 11,000+ Denver employees and staff from 350+ governments in lean process improvement since 2012, saving $75M+. Technology Services runs an Automation Center of Excellence that saved $2.9M and 54,000 staff hours (2024 Apex Project of the Year).",Government,City and County of Denver general fund,denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Finance/Our-Divisions/Budget-and-Management-Office/Peak-Performance,"Procurement & Operations,Test & Learn","Operational Excellence,Iterative Learning,Scaling What Works,Feedback Loops"
CMS Digital Service (DSAC),Government,,Federal,"Digital services team within the Centers for Medicare and Medicaid Services. Responsible for healthcare.gov recovery, 988 Suicide and Crisis Lifeline, and the first federal open source program office (OSPO). One of the most impactful federal digital service teams.",Government,Federal appropriations (HHS/CMS),cms.gov,"Domains,Service Delivery,Technology & Data","Healthcare Access,Benefits Access,Legacy Systems,Service Design,AI in Government"
CODE PA,Government,,State,"State digital delivery team (~50 staff) created 2023 under Gov. Shapiro. Delivers human-centered design, accessibility, and digital service improvements across PA agencies.",Government,State general fund,code.pa.gov,"Service Delivery,Test & Learn","Service Design,Benefits Access,Iterative Learning"
Colorado Digital Service,Government,,State,"State digital team within the Governor's Office of Information Technology (OIT), founded by USDS alumni, using product management, user research, and agile delivery. In 2026 OIT adopted the CDS product model statewide: CDS director Sarah Tuneberg became state CIO in June, and OIT cut 173 management and coordination roles in the restructuring.",Government,State general fund (via OIT),colorado.gov/digitalservice,"Procurement & Operations,Service Delivery,Test & Learn","Procurement Reform,Benefits Access,Service Design,Iterative Learning"
Connecticut Digital Government Team,Government,,State,State digital services team within Connecticut Department of Administrative Services. Operational since 2019 with 21-25 FTE.,Government,State general fund,portal.ct.gov,"Technology & Data,Domains,Service Delivery","Data Security,Broadband & Internet Connectivity,Service Design"
Delaware Government Information Center,Government,,State,"Delaware central digital services and government information team, operational since 2001. Manages state web properties, open data, and digital service delivery. Verified active with 11-15 FTE.",Government,State general fund,gic.delaware.gov,"Participatory Democracy,Technology & Data,Service Delivery","Transparency & Accountability,Data Integration,Service Design"
Federal Student Aid Digital Services,Government,,Federal,"Digital service team within Federal Student Aid (FSA), established 2024 under FSA OCTO. Focused on modernizing federal student aid technology and improving applicant experience for 40 million+ borrowers.",Government,Federal appropriations (Dept. of Education),studentaid.gov,"Service Delivery,Technology & Data","Benefits Access,Legacy Systems,Service Design"
Franklin County GX Foundry,Government,,City,"Digital services and government experience team for Franklin County, Ohio (Columbus metro). Verified active with 16-20 FTE and 2 million budget.",Government,County budget,franklincountyohio.gov,"Procurement & Operations,Service Delivery","Operational Excellence,Service Design"
Georgia Digital Services and Solutions,Government,,State,"Digital services team within the Georgia Technology Authority (GTA) managing state web infrastructure, UX, and accessibility (GovHub platform). Distinct from the Georgia Office of Artificial Intelligence, also a GTA sub-program focused on AI governance.",Government,State general fund,digital.georgia.gov,"Technology & Data,Participatory Democracy,Service Delivery","Legacy Systems,Transparency & Accountability,Service Design"
Georgia Office of Artificial Intelligence,Government,,State,"Dedicated state AI office within the Georgia Technology Authority. Published the state AI Roadmap and Governance Framework and drives a cloud-first initiative with AI integration, backed by $15M in additional cybersecurity and AI funding.",Government,State fund + $15M additional appropriation,gta.georgia.gov,"Domains,Technology & Data,Procurement & Operations","AI in Government,Data Security,Procurement Reform"
"Gilbert, AZ Office of Digital Government",Government,,City,"City digital government office delivering social media strategy, open data, civic engagement, and digital innovation. Nationally recognized.",Government,City budget,gilbertaz.gov,"Participatory Democracy,Service Delivery","Civic Engagement,Transparency & Accountability,Service Design"
Hennepin County Digital Experience (DX),Government,,City,"Digital services and experience team for Hennepin County, Minnesota (Minneapolis metro). Verified active with 21-25 FTE. One of the largest county-level digital service teams in the US.",Government,County budget,hennepin.us,"Service Delivery,Technology & Data","Benefits Access,Data Integration,Service Design"
House Digital Service (HDS),Government,,Federal,"Digital service team for the US House of Representatives, established 2019. Serves the legislative branch, distinct from executive branch digital service teams.",Government,Congressional appropriations,house.gov,"Procurement & Operations,Participatory Democracy,Technology & Data","Reaction Time,Transparency & Accountability,Legacy Systems"
Illinois Department of Innovation & Technology (DoIT),Government,,State,"State enterprise IT agency created by statute in 2018, serving 36 client agencies directly and 90+ government entities statewide including high-speed broadband to 610 school districts. Led by State CIO/Secretary Sanjay Gupta (former USDOJ and SBA CIO; Senate-confirmed 2024). Key 2024-25 initiatives include enterprise AI governance, benefits modernization for SNAP and Medicaid, digital driver's licenses via Apple Wallet, and a new Central Computing Facility replacing 1970s-era legacy data center infrastructure.",Government,IL state general fund,doit.illinois.gov,"Technology & Data,Service Delivery,Domains","Legacy Systems,Data Security,Benefits Access,AI in Government,Broadband & Internet Connectivity"
InnovateOhio Platform (Ohio Office of Information Technology),Government,,State,"Ohio's enterprise digital modernization initiative within the Department of Administrative Services' Office of Information Technology. Delivers OH|ID single sign-on (used by nearly half of Ohioans), data analytics, fraud detection, and a shared content platform for agency sites. Won a 2025 NASCIO State IT Recognition Award for cybersecurity.",Government,OH state general fund,innovation.ohio.gov,"Service Delivery,Technology & Data","Service Design,Benefits Access,Data Integration,Legacy Systems"
"Lebanon, NH",Government,,City,"Small city with dedicated Chief Innovation & AI Officer. AI policy, procurement, training. Serves on NH AI Task Force.",Government,City budget,lebanonnh.gov,"Domains,Procurement & Operations,Talent & Hiring","AI in Government,Procurement Reform,Workforce Development"
Los Angeles Information Technology Agency (ITA),Government,,City,"City of Los Angeles enterprise technology department (442 staff, 366 services, ~$90M operating budget), ranked a top-two Digital City in 2023 and 2024. Published the LA AI Roadmap (2024) and a strategic plan covering AI governance and infrastructure for the 2026 World Cup and 2028 Olympics.",Government,City of LA general fund; operating + capital budget appropriations,ita.lacity.gov,"Technology & Data,Procurement & Operations,Domains","Legacy Systems,Operational Excellence,AI in Government,Data Security"
Maryland Digital Service & Office of AI Enablement,Government,,State,"Digital service and AI delivery arm of the Maryland Department of Information Technology, created in 2024. Launched a bilingual AI assistant for SUN Bucks food benefits and co-leads a Rockefeller-backed AI partnership with Anthropic and Percepta on benefits, permitting, and housing. Published a 2025 AI Enablement Strategy.",Government,MD state general fund; Anthropic/Percepta partnership; Rockefeller Foundation support,doit.maryland.gov,"Service Delivery,Domains","Service Design,AI in Government,Benefits Access"
Massachusetts Digital Service (Mass Digital),Government,,State,"State digital service team within EOTSS implementing the Commonwealth Digital Roadmap. Built MyMassGov single sign-on (1.5M+ users) and the Ask MA multilingual chatbot, and announced ChatGPT for all 40K executive branch staff in 2026. Funded in part by the FutureTech Act of 2024 ($110M bond authorization).",Government,MA state general fund + $110M FutureTech Act bond authorization,mass.gov/orgs/massachusetts-digital-service,"Technology & Data,Service Delivery,Domains","Legacy Systems,Benefits Access,Service Design,AI in Government"
